                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.6053,                 10.945,                      0,                0.83817,                 1.1004,                0.99352,                      1,                  0.995,                0.93707,                      0,                      0,                      0,                      0,                0.44671,                 11.368,                      0,                0.33404,                 1.0206,                0.00012,                0.00012,                0.00012
                      2,                0.46953,                  10.89,                      0,                0.39961,                0.99531,                0.90506,                      1,                  0.995,                0.83254,                      0,                      0,                      0,                      0,                 0.7658,                 11.388,                      0,                 0.7938,                 1.4128,             0.00025743,             0.00025743,             0.00025743
                      3,                0.53464,                  10.69,                      0,                0.45181,                 1.0191,                0.75614,                      1,                0.92885,                0.74215,                      0,                      0,                      0,                      0,                0.72967,                 11.203,                      0,                0.94206,                 1.4243,             0.00039208,             0.00039208,             0.00039208
                      4,                0.44887,                 10.573,                      0,                0.38354,                0.97573,                0.76305,                    0.8,                0.90556,                 0.6357,                      0,                      0,                      0,                      0,                 1.0865,                 11.213,                      0,                0.78321,                 1.8572,             0.00052396,             0.00052396,             0.00052396
                      5,                0.54746,                 9.9974,                      0,                0.44165,                   1.03,                0.89232,                    0.7,                0.88683,                 0.5972,                      0,                      0,                      0,                      0,                  1.188,                 11.151,                      0,                 0.8787,                 1.9032,             0.00065307,             0.00065307,             0.00065307
                      6,                0.47796,                 9.9703,                      0,                0.40911,                0.96831,                0.84003,                      1,                0.97682,                0.57845,                      0,                      0,                      0,                      0,                 1.1558,                 11.103,                      0,                 1.9823,                 2.0055,             0.00077941,             0.00077941,             0.00077941
                      7,                0.48271,                 9.9909,                      0,                0.42362,                0.95676,                 0.4222,                0.87769,                0.58784,                0.38082,                      0,                      0,                      0,                      0,                 1.6925,                 11.039,                      0,                 2.4986,                 2.5755,             0.00090298,             0.00090298,             0.00090298
                      8,                0.57617,                 9.6586,                      0,                0.43408,                 1.0044,                0.83426,                    0.7,                0.70804,                0.42963,                      0,                      0,                      0,                      0,                  1.485,                 11.031,                      0,                 1.6208,                  2.359,              0.0010238,              0.0010238,              0.0010238
                      9,                0.56688,                 9.3536,                      0,                0.47508,                 1.0092,                0.59729,                    0.5,                0.60383,                0.42542,                      0,                      0,                      0,                      0,                 1.3896,                 11.113,                      0,                  1.944,                 2.2621,              0.0011418,              0.0011418,              0.0011418
                     10,                0.55032,                  9.391,                      0,                0.45018,                 1.0197,                0.62918,                    0.6,                0.56559,                0.33788,                      0,                      0,                      0,                      0,                 1.7717,                  11.16,                      0,                 2.6589,                 2.3557,               0.001257,               0.001257,               0.001257
                     11,                0.53304,                 8.8992,                      0,                0.44025,                0.97075,                0.43526,                    0.5,                0.44442,                0.19175,                      0,                      0,                      0,                      0,                 2.7411,                 10.914,                      0,                 5.3802,                 3.1622,              0.0013695,              0.0013695,              0.0013695
                     12,                 0.5915,                 9.0056,                      0,                0.47802,                 1.0313,                0.63423,                    0.4,                0.41892,                0.24352,                      0,                      0,                      0,                      0,                 1.9677,                 10.847,                      0,                 2.7316,                  3.146,              0.0014792,              0.0014792,              0.0014792
                     13,                0.62191,                 8.5222,                      0,                0.46307,                 1.0371,                0.38599,                    0.4,                0.37317,                 0.2483,                      0,                      0,                      0,                      0,                 1.8018,                 10.866,                      0,                 3.0958,                 3.2757,              0.0015862,              0.0015862,              0.0015862
                     14,                0.54586,                 8.5134,                      0,                0.45782,                0.98094,                0.55213,                    0.7,                 0.5841,                0.45722,                      0,                      0,                      0,                      0,                 1.4996,                 10.611,                      0,                 4.7766,                 2.5771,              0.0016903,              0.0016903,              0.0016903
                     15,                0.56123,                 8.3815,                      0,                0.44874,                 1.0019,                0.65137,                    0.7,                0.58622,                0.34613,                      0,                      0,                      0,                      0,                 1.8455,                 10.638,                      0,                 5.3238,                 2.7885,              0.0017228,              0.0017228,              0.0017228
                     16,                0.53717,                 8.3274,                      0,                0.41304,                 1.0016,                 0.9282,                    0.7,                0.81889,                0.42333,                      0,                      0,                      0,                      0,                 1.6163,                 10.494,                      0,                 3.5867,                 2.6962,              0.0017228,              0.0017228,              0.0017228
                     17,                0.51977,                 8.4434,                      0,                0.43877,                0.95198,                0.83471,                0.50579,                0.71745,                0.41074,                      0,                      0,                      0,                      0,                 1.4532,                 10.528,                      0,                 3.2683,                 2.5081,               0.001703,               0.001703,               0.001703
