                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     18,                0.53295,                 7.8546,                      0,                0.44539,                0.97781,                0.97446,                    0.7,                0.76793,                0.48649,                      0,                      0,                      0,                      0,                 1.2448,                 10.405,                      0,                 2.6979,                 2.2764,              0.0016832,              0.0016832,              0.0016832
                     19,                0.56947,                 7.9379,                      0,                0.45732,                0.99649,                0.85883,                    0.6,                0.77402,                0.52349,                      0,                      0,                      0,                      0,                 1.2871,                 10.556,                      0,                 1.5624,                 2.4047,              0.0016634,              0.0016634,              0.0016634
                     20,                0.56166,                 7.5641,                      0,                0.46979,                0.99016,                 0.7105,                0.73849,                0.80857,                 0.4963,                      0,                      0,                      0,                      0,                 1.3118,                  10.39,                      0,                 1.2091,                 2.2555,              0.0016436,              0.0016436,              0.0016436
                     21,                0.49373,                 7.8265,                      0,                0.42041,                0.94458,                0.74948,                    0.7,                0.78682,                0.51633,                      0,                      0,                      0,                      0,                  1.438,                 10.164,                      0,                  1.263,                 2.4253,              0.0016238,              0.0016238,              0.0016238
                     22,                0.50562,                 7.4989,                      0,                0.39747,                0.97557,                0.70243,                    0.5,                0.61488,                0.35787,                      0,                      0,                      0,                      0,                 1.8278,                  9.995,                      0,                 1.6799,                 2.6523,               0.001604,               0.001604,               0.001604
                     23,                0.56306,                 7.3253,                      0,                0.42429,                 1.0173,                0.93544,                    0.3,                0.39811,                0.26341,                      0,                      0,                      0,                      0,                 1.9959,                 10.228,                      0,                 2.0781,                 2.5781,              0.0015842,              0.0015842,              0.0015842
                     24,                0.50602,                 7.1966,                      0,                0.39373,                0.97639,                0.45013,                    0.7,                0.52281,                0.31409,                      0,                      0,                      0,                      0,                 1.8445,                 10.561,                      0,                 1.3377,                 2.5613,              0.0015644,              0.0015644,              0.0015644
                     25,                0.56616,                 7.3304,                      0,                0.47517,                 1.0274,                0.61585,                    0.7,                0.56837,                0.39895,                      0,                      0,                      0,                      0,                 1.5773,                 10.602,                      0,                 1.0591,                 2.4132,              0.0015446,              0.0015446,              0.0015446
                     26,                  0.548,                  7.112,                      0,                0.42037,                0.99031,                0.82858,                0.48573,                0.67821,                0.46145,                      0,                      0,                      0,                      0,                 1.3259,                 10.598,                      0,                 1.4066,                  2.167,              0.0015248,              0.0015248,              0.0015248
                     27,                0.51545,                 7.1882,                      0,                0.39175,                0.98897,                0.60154,                    0.6,                0.70746,                0.48459,                      0,                      0,                      0,                      0,                 1.1888,                 10.541,                      0,                 1.2988,                 2.0051,               0.001505,               0.001505,               0.001505
                     28,                0.47374,                 6.6827,                      0,                 0.3915,                0.94382,                0.56326,                    0.6,                 0.6325,                0.48722,                      0,                      0,                      0,                      0,                  1.341,                  10.06,                      0,                0.94809,                 2.2293,              0.0014852,              0.0014852,              0.0014852
                     29,                0.44154,                   6.77,                      0,                0.35851,                0.94395,                0.68142,                    0.7,                0.70524,                0.51003,                      0,                      0,                      0,                      0,                 1.2893,                   9.98,                      0,                0.84324,                 2.1856,              0.0014654,              0.0014654,              0.0014654
                     30,                0.44853,                 6.3556,                      0,                0.36806,                0.94019,                 0.8731,                0.68938,                0.72907,                0.52338,                      0,                      0,                      0,                      0,                 1.1959,                 10.086,                      0,                 1.1013,                 1.9783,              0.0014456,              0.0014456,              0.0014456
                     31,                0.46775,                 6.4173,                      0,                0.39288,                0.96554,                0.95919,                    0.7,                0.72023,                 0.4508,                      0,                      0,                      0,                      0,                 1.4507,                 9.9245,                      0,                 1.5285,                 2.0883,              0.0014258,              0.0014258,              0.0014258
                     32,                0.47943,                 5.8814,                      0,                0.35193,                0.95644,                0.75106,                    0.7,                0.69187,                0.42322,                      0,                      0,                      0,                      0,                 1.3638,                 9.7378,                      0,                 1.2952,                 1.9569,               0.001406,               0.001406,               0.001406
                     33,                0.45644,                 6.1462,                      0,                0.38269,                0.93069,                0.76439,                    0.7,                0.68789,                 0.4253,                      0,                      0,                      0,                      0,                 1.4275,                 9.7482,                      0,                  1.288,                 1.9857,              0.0013862,              0.0013862,              0.0013862
                     34,                0.48837,                 6.5639,                      0,                0.39913,                0.96564,                0.52683,                    0.5,                0.44932,                 0.3315,                      0,                      0,                      0,                      0,                 1.7897,                 9.8516,                      0,                 1.9962,                  2.436,              0.0013664,              0.0013664,              0.0013664
                     35,                0.45015,                 5.8667,                      0,                 0.4013,                0.94693,                0.52311,                    0.8,                0.63827,                0.44577,                      0,                      0,                      0,                      0,                 1.4087,                 9.7286,                      0,                 1.2054,                 2.1334,              0.0013466,              0.0013466,              0.0013466
                     36,                0.48794,                 6.5231,                      0,                0.39599,                0.94619,                0.76913,                    0.7,                0.69524,                0.45757,                      0,                      0,                      0,                      0,                 1.5245,                 9.9679,                      0,                 1.5649,                 2.4128,              0.0013268,              0.0013268,              0.0013268
                     37,                 0.4354,                 6.1186,                      0,                0.36933,                0.93253,                0.62642,                    0.7,                0.65923,                 0.4523,                      0,                      0,                      0,                      0,                 1.4674,                 9.8492,                      0,                 1.2855,                 2.3854,               0.001307,               0.001307,               0.001307
                     38,                0.49787,                 6.2599,                      0,                0.40337,                0.95368,                0.53086,                    0.8,                0.68488,                0.43998,                      0,                      0,                      0,                      0,                 1.5781,                 9.8032,                      0,                 1.1703,                 2.5172,              0.0012872,              0.0012872,              0.0012872
                     39,                0.45655,                 5.7428,                      0,                0.38392,                0.96043,                0.44479,                0.80117,                0.62149,                0.41715,                      0,                      0,                      0,                      0,                  1.579,                 9.9404,                      0,                 1.4441,                 2.4225,              0.0012674,              0.0012674,              0.0012674
                     40,                0.45691,                 6.0045,                      0,                0.36648,                0.97483,                 0.5296,                0.78881,                0.67982,                0.44115,                      0,                      0,                      0,                      0,                 1.6278,                 10.094,                      0,                 1.2363,                 2.4911,              0.0012476,              0.0012476,              0.0012476
                     41,                0.49063,                 6.1631,                      0,                0.37391,                0.98856,                0.55888,                    0.7,                 0.6356,                0.48028,                      0,                      0,                      0,                      0,                 1.7619,                 9.8432,                      0,                 1.1943,                 2.7541,              0.0012278,              0.0012278,              0.0012278
                     42,                0.41243,                 5.9265,                      0,                0.36643,                0.93728,                0.79846,                    0.8,                0.81561,                0.54644,                      0,                      0,                      0,                      0,                 1.7067,                 9.6469,                      0,                 1.3059,                  2.723,               0.001208,               0.001208,               0.001208
                     43,                0.42496,                 5.7401,                      0,                0.37209,                0.93965,                0.71927,                    0.8,                  0.855,                0.59328,                      0,                      0,                      0,                      0,                 1.2854,                 9.6761,                      0,                 1.0827,                 2.1644,              0.0011882,              0.0011882,              0.0011882
                     44,                 0.4254,                 5.9121,                      0,                0.34161,                0.93373,                0.68903,                0.88722,                0.86918,                0.58332,                0.29784,                    0.1,                0.04115,                0.00411,                 1.3128,                 9.9698,                      0,                0.99553,                 2.1129,              0.0011684,              0.0011684,              0.0011684
                     45,                0.40716,                 5.8255,                      0,                0.33089,                0.92805,                0.52418,                0.88222,                0.72164,                0.53153,                0.31266,                    0.1,                0.10534,                0.02107,                  1.375,                 10.106,                      0,                  1.025,                 2.2403,              0.0011486,              0.0011486,              0.0011486
                     46,                0.44544,                 5.9039,                      0,                0.36515,                0.95632,                0.63752,                0.88058,                0.84928,                0.55935,                0.41091,                    0.1,                0.10169,                0.01017,                 1.4018,                 9.6964,                      0,                0.95877,                 2.3867,              0.0011288,              0.0011288,              0.0011288
                     47,                0.43066,                 5.5629,                      0,                0.35367,                0.92361,                0.80529,                    0.9,                0.90222,                0.61704,                0.80078,                    0.2,                0.20538,                0.02054,                 1.3369,                 9.6687,                      0,                0.89532,                 2.2042,               0.001109,               0.001109,               0.001109
                     48,                0.37356,                 5.5473,                      0,                0.33018,                0.90463,                0.72425,                    0.9,                0.81455,                0.52913,                      0,                      0,                      0,                      0,                 1.4454,                 10.032,                      0,                 1.0436,                 2.0547,              0.0010892,              0.0010892,              0.0010892
                     49,                0.38091,                 5.3663,                      0,                0.32915,                0.89303,                0.66671,                    0.7,                0.69831,                0.49253,                      0,                      0,                      0,                      0,                 1.3787,                  9.876,                      0,                 1.1291,                 2.0553,              0.0010694,              0.0010694,              0.0010694
                     50,                0.41369,                 5.4299,                      0,                0.36312,                0.93163,                0.65124,                    0.6,                0.69619,                 0.4718,                0.48409,                    0.1,                0.10667,                0.01067,                 1.2716,                  9.665,                      0,                 1.2184,                  2.017,              0.0010496,              0.0010496,              0.0010496
                     51,                0.41851,                 5.4094,                      0,                0.34478,                0.91674,                0.85445,                 0.5887,                0.78147,                0.53657,                0.63404,                    0.2,                0.20897,                 0.0209,                 1.2877,                 9.5079,                      0,                 1.2217,                 2.2335,              0.0010298,              0.0010298,              0.0010298
