                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.48032,                 7.2221,                      0,                0.43364,                0.98139,                0.94244,                    0.4,                0.60778,                0.37364,                      0,                      0,                      0,                      0,                 1.6126,                 10.579,                      0,                 1.5776,                 2.4364,              0.0010892,              0.0010892,              0.0010892
                     26,                0.44178,                 7.0974,                      0,                0.36917,                 0.9491,                      1,                0.48247,                0.73976,                0.52522,                      0,                      0,                      0,                      0,                 1.3489,                 10.423,                      0,                 1.1446,                 2.2016,              0.0010496,              0.0010496,              0.0010496
                     27,                0.45122,                 7.0543,                      0,                0.34468,                0.96611,                0.74455,                    0.8,                0.84339,                 0.6252,                      0,                      0,                      0,                      0,                 1.1357,                 10.289,                      0,                0.95163,                 1.9005,                0.00101,                0.00101,                0.00101
                     28,                0.43265,                 6.7607,                      0,                0.36462,                 0.9324,                 0.7329,                    0.9,                0.87005,                0.60235,                      0,                      0,                      0,                      0,                 1.1545,                 10.097,                      0,                0.97562,                 2.1607,              0.0009704,              0.0009704,              0.0009704
                     29,                0.43568,                 6.8083,                      0,                0.34684,                0.94343,                0.74809,                0.89158,                0.83235,                0.59184,                      0,                      0,                      0,                      0,                   1.24,                 10.138,                      0,                 1.0758,                 2.1601,              0.0009308,              0.0009308,              0.0009308
                     30,                0.39726,                  6.254,                      0,                0.34034,                 0.9165,                0.89705,                0.87348,                0.88111,                0.64344,                      0,                      0,                      0,                      0,                 1.2074,                 10.263,                      0,                0.93775,                 2.0602,              0.0008912,              0.0008912,              0.0008912
                     31,                0.42969,                 6.4402,                      0,                0.34664,                0.96314,                 0.6076,                    0.8,                0.77079,                0.63718,                      0,                      0,                      0,                      0,                 1.1311,                 9.9114,                      0,                0.79403,                 1.9144,              0.0008516,              0.0008516,              0.0008516
                     32,                0.37027,                 5.8959,                      0,                 0.3084,                0.91253,                0.70124,                    0.8,                0.74529,                0.59393,                      0,                      0,                      0,                      0,                 1.1603,                 10.281,                      0,                0.80367,                 1.9725,               0.000812,               0.000812,               0.000812
                     33,                0.41477,                 6.1502,                      0,                0.32702,                0.91623,                0.77586,                    0.8,                0.75878,                0.58624,                      0,                      0,                      0,                      0,                 1.1693,                 10.302,                      0,                0.79581,                 2.0193,              0.0007724,              0.0007724,              0.0007724
                     34,                0.42318,                 6.2343,                      0,                0.33548,                0.94705,                0.86148,                    0.9,                0.87452,                0.59912,                      0,                      0,                      0,                      0,                 1.0841,                 10.084,                      0,                0.72377,                 1.8902,              0.0007328,              0.0007328,              0.0007328
                     35,                0.37885,                 5.7699,                      0,                0.32757,                0.91888,                0.98624,                    0.8,                0.87548,                0.64914,                      0,                      0,                      0,                      0,                 1.1213,                 9.9032,                      0,                0.79561,                 1.8628,              0.0006932,              0.0006932,              0.0006932
                     36,                0.43335,                 6.3486,                      0,                0.33559,                0.93602,                0.99432,                    0.8,                0.89707,                0.68389,                      0,                      0,                      0,                      0,                 1.0412,                 9.8183,                      0,                0.72076,                 1.7816,              0.0006536,              0.0006536,              0.0006536
                     37,                0.37271,                 5.9836,                      0,                0.31237,                0.90851,                0.98019,                    0.8,                0.89914,                0.71363,                      0,                      0,                      0,                      0,                0.99382,                 9.8078,                      0,                0.68639,                 1.6936,               0.000614,               0.000614,               0.000614
                     38,                0.40841,                 5.9727,                      0,                 0.3291,                0.93774,                 0.8979,                0.88112,                 0.9015,                0.70866,                      0,                      0,                      0,                      0,                0.92956,                 9.7853,                      0,                0.72514,                 1.5921,              0.0005744,              0.0005744,              0.0005744
                     39,                0.39682,                  5.643,                      0,                0.32121,                0.93652,                0.98267,                    0.8,                0.88414,                0.71391,                      0,                      0,                      0,                      0,                0.91379,                  9.643,                      0,                0.81106,                 1.5598,              0.0005348,              0.0005348,              0.0005348
                     40,                0.38465,                 5.7881,                      0,                 0.3168,                0.95501,                0.98051,                    0.8,                0.85956,                0.70042,                      0,                      0,                      0,                      0,                0.84357,                 9.7432,                      0,                0.82328,                 1.5148,              0.0004952,              0.0004952,              0.0004952
                     41,                0.25427,                 4.7658,                      0,                0.29597,                0.83903,                      1,                0.77944,                0.85707,                0.68167,                      0,                      0,                      0,                      0,                0.88772,                 9.7655,                      0,                0.92909,                 1.5928,              0.0004556,              0.0004556,              0.0004556
                     42,                0.23783,                 4.6322,                      0,                0.23176,                0.82538,                0.83222,                    0.7,                0.85828,                0.62037,                      0,                      0,                      0,                      0,                0.90483,                 9.8241,                      0,                0.88523,                  1.636,               0.000416,               0.000416,               0.000416
                     43,                0.21945,                 4.5611,                      0,                0.22771,                0.80457,                0.95565,                    0.7,                0.85499,                0.65268,                      0,                      0,                      0,                      0,                0.84336,                 9.5877,                      0,                0.85235,                 1.5822,              0.0003764,              0.0003764,              0.0003764
                     44,                0.22796,                 4.6735,                      0,                0.22813,                0.80585,                0.93163,                    0.8,                0.87499,                0.70884,                      0,                      0,                      0,                      0,                0.83282,                 9.5599,                      0,                 1.0187,                 1.5681,              0.0003368,              0.0003368,              0.0003368
                     45,                0.22886,                  4.598,                      0,                0.21755,                0.78481,                0.89525,                0.85726,                0.89384,                0.71965,                      0,                      0,                      0,                      0,                0.82454,                 9.5561,                      0,                0.92586,                 1.5714,              0.0002972,              0.0002972,              0.0002972
                     46,                0.22216,                 4.6144,                      0,                0.21328,                0.80828,                0.88884,                    0.9,                0.89384,                0.70995,                      0,                      0,                      0,                      0,                0.87115,                 9.7438,                      0,                0.96795,                 1.6341,              0.0002576,              0.0002576,              0.0002576
                     47,                 0.2232,                 4.4239,                      0,                0.20459,                0.82485,                0.80848,                    0.9,                0.86834,                0.67366,                      0,                      0,                      0,                      0,                0.87848,                 9.8086,                      0,                0.94266,                 1.6048,               0.000218,               0.000218,               0.000218
                     48,                 0.2149,                 4.4972,                      0,                0.19883,                0.84276,                0.84572,                    0.9,                0.89461,                0.70094,                      0,                      0,                      0,                      0,                0.90854,                 9.7268,                      0,                0.93284,                 1.6623,              0.0001784,              0.0001784,              0.0001784
                     49,                 0.2104,                 4.4241,                      0,                  0.194,                0.80788,                0.87757,                    0.9,                  0.884,                0.70173,                      0,                      0,                      0,                      0,                0.90419,                  9.693,                      0,                0.81296,                 1.6816,              0.0001388,              0.0001388,              0.0001388
                     50,                0.21461,                 4.3697,                      0,                0.20613,                0.79271,                 0.8966,                0.86944,                0.88452,                0.71251,                      0,                      0,                      0,                      0,                0.92406,                 9.7278,                      0,                 0.8436,                 1.7194,               9.92e-05,               9.92e-05,               9.92e-05
