                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.6053,                 10.945,                      0,                0.83817,                 1.1004,                0.99287,                      1,                  0.995,                0.91106,                      0,                      0,                      0,                      0,                0.47713,                 11.366,                      0,                0.40744,                 1.0607,                0.00012,                0.00012,                0.00012
                      2,                 0.4695,                 10.884,                      0,                0.40514,                0.99599,                0.98168,                    0.8,                0.95374,                0.78215,                      0,                      0,                      0,                      0,                0.75929,                 11.451,                      0,                0.83661,                 1.4332,             0.00024713,             0.00024713,             0.00024713
                      3,                0.52668,                 10.662,                      0,                0.43993,                 1.0075,                0.84672,                    0.8,                  0.895,                0.68096,                      0,                      0,                      0,                      0,                 1.0375,                  11.39,                      0,                 1.3429,                  1.916,              0.0003604,              0.0003604,              0.0003604
                      4,                0.46065,                 10.665,                      0,                0.38173,                0.97777,                0.94279,                    0.8,                  0.905,                0.66385,                      0,                      0,                      0,                      0,                 1.0543,                 11.236,                      0,                 1.1996,                 1.7928,             0.00045981,             0.00045981,             0.00045981
                      5,                 0.5358,                 10.092,                      0,                0.44159,                 1.0241,                0.93289,                    0.9,                0.96167,                0.72111,                      0,                      0,                      0,                      0,                      1,                 11.177,                      0,                0.66035,                 1.8361,             0.00054536,             0.00054536,             0.00054536
                      6,                0.47858,                 10.048,                      0,                0.40664,                0.96893,                0.62064,                    0.7,                 0.8762,                0.61518,                      0,                      0,                      0,                      0,                 1.1733,                 11.099,                      0,                 2.2561,                 1.8398,             0.00061705,             0.00061705,             0.00061705
                      7,                0.52118,                 10.118,                      0,                0.40787,                0.98364,                0.67496,                    0.8,                0.77627,                0.50812,                      0,                      0,                      0,                      0,                 1.0915,                 10.942,                      0,                 1.7526,                 1.9244,             0.00067488,             0.00067488,             0.00067488
                      8,                0.47256,                 9.7826,                      0,                0.37738,                0.96215,                0.58151,                    0.9,                0.77411,                0.54225,                      0,                      0,                      0,                      0,                  1.415,                 10.885,                      0,                 2.0779,                 2.3066,             0.00071885,             0.00071885,             0.00071885
                      9,                0.49468,                 9.3548,                      0,                0.40061,                0.97528,                0.56233,                    0.9,                0.75167,                0.52826,                      0,                      0,                      0,                      0,                 1.2789,                 10.857,                      0,                 2.0861,                 2.0822,             0.00074896,             0.00074896,             0.00074896
                     10,                0.46069,                 9.4553,                      0,                0.37716,                0.97427,                0.49783,                      1,                 0.7836,                0.45787,                      0,                      0,                      0,                      0,                 1.5485,                 10.779,                      0,                 2.4011,                 2.4273,             0.00076521,             0.00076521,             0.00076521
                     11,                0.37493,                 9.0239,                      0,                0.36594,                 0.8694,                0.67119,                    0.8,                0.81131,                0.57461,                      0,                      0,                      0,                      0,                 1.2794,                 10.742,                      0,                 1.4838,                  2.266,              0.0007676,              0.0007676,              0.0007676
                     12,                0.37157,                 8.8352,                      0,                 0.3087,                0.86838,                0.61461,                    0.8,                0.75755,                0.49268,                      0,                      0,                      0,                      0,                  1.337,                 10.803,                      0,                 1.8397,                 2.3862,             0.00075613,             0.00075613,             0.00075613
                     13,                0.37232,                 8.4668,                      0,                0.32626,                0.92563,                0.85134,                    0.9,                 0.9175,                0.54202,                      0,                      0,                      0,                      0,                 1.3577,                 10.857,                      0,                 1.5571,                 2.2776,              0.0007308,              0.0007308,              0.0007308
                     14,                0.36345,                 8.4443,                      0,                0.32596,                0.85393,                0.76727,                    0.8,                0.84305,                0.55833,                      0,                      0,                      0,                      0,                 1.0144,                 10.684,                      0,                 1.0221,                 1.8125,             0.00069161,             0.00069161,             0.00069161
                     15,                0.34556,                 8.1331,                      0,                0.31527,                0.90478,                0.58604,                0.85115,                0.79346,                0.58486,                      0,                      0,                      0,                      0,                0.93291,                 10.962,                      0,                 1.1746,                 1.7508,               0.000614,               0.000614,               0.000614
                     16,                0.34744,                 8.0523,                      0,                0.31165,                0.88922,                0.68063,                    0.9,                0.84172,                0.60409,                      0,                      0,                      0,                      0,                0.98624,                 10.743,                      0,                 1.2196,                 1.9174,               0.000614,               0.000614,               0.000614
                     17,                 0.2833,                 7.8752,                      0,                0.26291,                0.80207,                0.66632,                      1,                0.87606,                 0.5991,                      0,                      0,                      0,                      0,                 1.0473,                 10.662,                      0,                 1.1929,                 1.8738,               0.000515,               0.000515,               0.000515
                     18,                0.32678,                 7.9907,                      0,                0.28657,                0.87247,                0.87286,                0.68802,                0.83757,                0.54737,                      0,                      0,                      0,                      0,                 1.2149,                 10.794,                      0,                  1.129,                 1.9521,               0.000416,               0.000416,               0.000416
                     19,                0.29121,                 7.6213,                      0,                0.27194,                 0.8293,                0.73905,                    0.9,                0.87694,                0.54286,                      0,                      0,                      0,                      0,                 1.2162,                 10.544,                      0,                 1.0371,                 1.9919,               0.000317,               0.000317,               0.000317
                     20,                0.24889,                 7.4081,                      0,                0.24912,                0.80328,                0.76712,                      1,                0.87885,                0.54876,                      0,                      0,                      0,                      0,                 1.1413,                 10.435,                      0,                0.93014,                 1.9082,               0.000218,               0.000218,               0.000218
